[10/25/2019 01:03:23 PM][ DEBUG   ] Starting communication instance.
[10/25/2019 01:04:16 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:16 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:16 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 47987
[10/25/2019 01:04:16 PM][ VERBOSE ] BackgroundThread: current time = 47987, sleep time = 600
[10/25/2019 01:04:16 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:16 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:16 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 48602
[10/25/2019 01:04:16 PM][ VERBOSE ] BackgroundThread: current time = 48602, sleep time = 600
[10/25/2019 01:04:17 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:17 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:17 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 49217
[10/25/2019 01:04:17 PM][ VERBOSE ] BackgroundThread: current time = 49217, sleep time = 600
[10/25/2019 01:04:17 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:17 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:17 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 49834
[10/25/2019 01:04:17 PM][ VERBOSE ] BackgroundThread: current time = 49834, sleep time = 166
[10/25/2019 01:04:18 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC13C5CB0 execution time: 0ms. last executed time: 50000
[10/25/2019 01:04:18 PM][ VERBOSE ] BackgroundThread: current time = 50000, sleep time = 434
[10/25/2019 01:04:18 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:18 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:18 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 50449
[10/25/2019 01:04:18 PM][ VERBOSE ] BackgroundThread: current time = 50449, sleep time = 600
[10/25/2019 01:04:19 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:19 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:19 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 51065
[10/25/2019 01:04:19 PM][ VERBOSE ] BackgroundThread: current time = 51065, sleep time = 600
[10/25/2019 01:04:19 PM][ VERBOSE ] TTLProc: scanning for timed-out clients.
[10/25/2019 01:04:19 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:19 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:19 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 51680
[10/25/2019 01:04:19 PM][ VERBOSE ] BackgroundThread: current time = 51680, sleep time = 600
[10/25/2019 01:04:20 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:20 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:20 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 52295
[10/25/2019 01:04:20 PM][ VERBOSE ] BackgroundThread: current time = 52295, sleep time = 600
[10/25/2019 01:04:21 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:21 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:21 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 52910
[10/25/2019 01:04:21 PM][ VERBOSE ] BackgroundThread: current time = 52910, sleep time = 600
[10/25/2019 01:04:21 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:21 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:21 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 13ms. last executed time: 53523
[10/25/2019 01:04:21 PM][ VERBOSE ] BackgroundThread: current time = 53523, sleep time = 600
[10/25/2019 01:04:22 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:22 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:22 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 54140
[10/25/2019 01:04:22 PM][ VERBOSE ] BackgroundThread: current time = 54140, sleep time = 600
[10/25/2019 01:04:23 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:23 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:23 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 13ms. last executed time: 54753
[10/25/2019 01:04:23 PM][ VERBOSE ] BackgroundThread: current time = 54753, sleep time = 600
[10/25/2019 01:04:23 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:23 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:23 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 55367
[10/25/2019 01:04:23 PM][ VERBOSE ] BackgroundThread: current time = 55367, sleep time = 600
[10/25/2019 01:04:24 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:24 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:24 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 55981
[10/25/2019 01:04:24 PM][ VERBOSE ] BackgroundThread: current time = 55981, sleep time = 600
[10/25/2019 01:04:24 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:24 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:24 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 56596
[10/25/2019 01:04:24 PM][ VERBOSE ] BackgroundThread: current time = 56596, sleep time = 600
[10/25/2019 01:04:25 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:25 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:25 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 57212
[10/25/2019 01:04:25 PM][ VERBOSE ] BackgroundThread: current time = 57212, sleep time = 600
[10/25/2019 01:04:26 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:26 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:26 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 57828
[10/25/2019 01:04:26 PM][ VERBOSE ] BackgroundThread: current time = 57828, sleep time = 600
[10/25/2019 01:04:26 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:26 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:26 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 58442
[10/25/2019 01:04:26 PM][ VERBOSE ] BackgroundThread: current time = 58442, sleep time = 600
[10/25/2019 01:04:27 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:27 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:27 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 59057
[10/25/2019 01:04:27 PM][ VERBOSE ] BackgroundThread: current time = 59057, sleep time = 600
[10/25/2019 01:04:28 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:28 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 59671
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: current time = 59671, sleep time = 329
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC13C5CB0 execution time: 0ms. last executed time: 60000
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: current time = 60000, sleep time = 271
[10/25/2019 01:04:28 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:28 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 60285
[10/25/2019 01:04:28 PM][ VERBOSE ] BackgroundThread: current time = 60285, sleep time = 600
[10/25/2019 01:04:29 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:29 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:29 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 60899
[10/25/2019 01:04:29 PM][ VERBOSE ] BackgroundThread: current time = 60899, sleep time = 600
[10/25/2019 01:04:29 PM][ VERBOSE ] TTLProc: scanning for timed-out clients.
[10/25/2019 01:04:30 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:30 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:30 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 61516
[10/25/2019 01:04:30 PM][ VERBOSE ] BackgroundThread: current time = 61516, sleep time = 600
[10/25/2019 01:04:30 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:30 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:30 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 62130
[10/25/2019 01:04:30 PM][ VERBOSE ] BackgroundThread: current time = 62130, sleep time = 600
[10/25/2019 01:04:31 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:31 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:31 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 62746
[10/25/2019 01:04:31 PM][ VERBOSE ] BackgroundThread: current time = 62746, sleep time = 600
[10/25/2019 01:04:31 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:31 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:31 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 63361
[10/25/2019 01:04:31 PM][ VERBOSE ] BackgroundThread: current time = 63361, sleep time = 600
[10/25/2019 01:04:32 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:32 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:32 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 63975
[10/25/2019 01:04:32 PM][ VERBOSE ] BackgroundThread: current time = 63975, sleep time = 600
[10/25/2019 01:04:33 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:33 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:33 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 64589
[10/25/2019 01:04:33 PM][ VERBOSE ] BackgroundThread: current time = 64589, sleep time = 600
[10/25/2019 01:04:33 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:33 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:33 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 65205
[10/25/2019 01:04:33 PM][ VERBOSE ] BackgroundThread: current time = 65205, sleep time = 600
[10/25/2019 01:04:34 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:34 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:34 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 65822
[10/25/2019 01:04:34 PM][ VERBOSE ] BackgroundThread: current time = 65822, sleep time = 600
[10/25/2019 01:04:35 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:35 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:35 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 66439
[10/25/2019 01:04:35 PM][ VERBOSE ] BackgroundThread: current time = 66439, sleep time = 600
[10/25/2019 01:04:35 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:35 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:35 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 67054
[10/25/2019 01:04:35 PM][ VERBOSE ] BackgroundThread: current time = 67054, sleep time = 600
[10/25/2019 01:04:36 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:36 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:36 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 67669
[10/25/2019 01:04:36 PM][ VERBOSE ] BackgroundThread: current time = 67669, sleep time = 600
[10/25/2019 01:04:37 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:37 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:37 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 68285
[10/25/2019 01:04:37 PM][ VERBOSE ] BackgroundThread: current time = 68285, sleep time = 600
[10/25/2019 01:04:37 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:37 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:37 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 68901
[10/25/2019 01:04:37 PM][ VERBOSE ] BackgroundThread: current time = 68901, sleep time = 600
[10/25/2019 01:04:38 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:38 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 69516
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: current time = 69516, sleep time = 484
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC13C5CB0 execution time: 0ms. last executed time: 70000
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: current time = 70000, sleep time = 116
[10/25/2019 01:04:38 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:38 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 70132
[10/25/2019 01:04:38 PM][ VERBOSE ] BackgroundThread: current time = 70132, sleep time = 600
[10/25/2019 01:04:39 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:39 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:39 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 70746
[10/25/2019 01:04:39 PM][ VERBOSE ] BackgroundThread: current time = 70746, sleep time = 600
[10/25/2019 01:04:39 PM][ VERBOSE ] TTLProc: scanning for timed-out clients.
[10/25/2019 01:04:40 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:40 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:40 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 71361
[10/25/2019 01:04:40 PM][ VERBOSE ] BackgroundThread: current time = 71361, sleep time = 600
[10/25/2019 01:04:40 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:40 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:40 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 71977
[10/25/2019 01:04:40 PM][ VERBOSE ] BackgroundThread: current time = 71977, sleep time = 600
[10/25/2019 01:04:41 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:41 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:41 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 18ms. last executed time: 72595
[10/25/2019 01:04:41 PM][ VERBOSE ] BackgroundThread: current time = 72595, sleep time = 600
[10/25/2019 01:04:42 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:42 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:42 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 73210
[10/25/2019 01:04:42 PM][ VERBOSE ] BackgroundThread: current time = 73210, sleep time = 600
[10/25/2019 01:04:42 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:42 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:42 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 73825
[10/25/2019 01:04:42 PM][ VERBOSE ] BackgroundThread: current time = 73825, sleep time = 600
[10/25/2019 01:04:43 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:43 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:43 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 74439
[10/25/2019 01:04:43 PM][ VERBOSE ] BackgroundThread: current time = 74439, sleep time = 600
[10/25/2019 01:04:44 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:44 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:44 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 75053
[10/25/2019 01:04:44 PM][ VERBOSE ] BackgroundThread: current time = 75053, sleep time = 600
[10/25/2019 01:04:44 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:44 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:44 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 75669
[10/25/2019 01:04:44 PM][ VERBOSE ] BackgroundThread: current time = 75669, sleep time = 600
[10/25/2019 01:04:45 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:45 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:45 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 76285
[10/25/2019 01:04:45 PM][ VERBOSE ] BackgroundThread: current time = 76285, sleep time = 600
[10/25/2019 01:04:45 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:45 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:45 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 76901
[10/25/2019 01:04:45 PM][ VERBOSE ] BackgroundThread: current time = 76901, sleep time = 600
[10/25/2019 01:04:46 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:46 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:46 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 77518
[10/25/2019 01:04:46 PM][ VERBOSE ] BackgroundThread: current time = 77518, sleep time = 600
[10/25/2019 01:04:47 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:47 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:47 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 78132
[10/25/2019 01:04:47 PM][ VERBOSE ] BackgroundThread: current time = 78132, sleep time = 600
[10/25/2019 01:04:47 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:47 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:47 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 14ms. last executed time: 78746
[10/25/2019 01:04:47 PM][ VERBOSE ] BackgroundThread: current time = 78746, sleep time = 600
[10/25/2019 01:04:48 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:48 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:48 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 79361
[10/25/2019 01:04:48 PM][ VERBOSE ] BackgroundThread: current time = 79361, sleep time = 600
[10/25/2019 01:04:49 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:49 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 79976
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: current time = 79976, sleep time = 24
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC13C5CB0 execution time: 0ms. last executed time: 80000
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: current time = 80000, sleep time = 576
[10/25/2019 01:04:49 PM][ VERBOSE ] TTLProc: scanning for timed-out clients.
[10/25/2019 01:04:49 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:49 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 13ms. last executed time: 80589
[10/25/2019 01:04:49 PM][ VERBOSE ] BackgroundThread: current time = 80589, sleep time = 600
[10/25/2019 01:04:50 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:50 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:50 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 81205
[10/25/2019 01:04:50 PM][ VERBOSE ] BackgroundThread: current time = 81205, sleep time = 600
[10/25/2019 01:04:51 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:51 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:51 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 18ms. last executed time: 81823
[10/25/2019 01:04:51 PM][ VERBOSE ] BackgroundThread: current time = 81823, sleep time = 600
[10/25/2019 01:04:51 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:51 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:51 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 82439
[10/25/2019 01:04:51 PM][ VERBOSE ] BackgroundThread: current time = 82439, sleep time = 600
[10/25/2019 01:04:52 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:52 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:52 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 83055
[10/25/2019 01:04:52 PM][ VERBOSE ] BackgroundThread: current time = 83055, sleep time = 600
[10/25/2019 01:04:52 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:52 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:53 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 15ms. last executed time: 83670
[10/25/2019 01:04:53 PM][ VERBOSE ] BackgroundThread: current time = 83670, sleep time = 600
[10/25/2019 01:04:53 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:53 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:53 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 16ms. last executed time: 84286
[10/25/2019 01:04:53 PM][ VERBOSE ] BackgroundThread: current time = 84286, sleep time = 600
[10/25/2019 01:04:54 PM][ VERBOSE ] GCTask: Starting defragmentation, DefragmentationPaused = false.
[10/25/2019 01:04:54 PM][ VERBOSE ] GCTask: Finishing defragmentation, waiting for 600ms.
[10/25/2019 01:04:54 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC1541910 execution time: 17ms. last executed time: 84903
[10/25/2019 01:04:54 PM][ VERBOSE ] BackgroundThread: current time = 84903, sleep time = 600
